dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38472,Français Blanc et Orange,Франция,62,минимум,,,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,30,минимум,54.4310844,минимум,,
http://www.wikidata.org/entity/Q38418,английский мастиф,Англия,27.5,минимум,54.4310844,минимум,,
http://www.wikidata.org/entity/Q38503,Левретка,Италия,38,максимум,5,максимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,максимум,60,максимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,максимум,70,максимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,максимум,50,минимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,максимум,60,минимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,максимум,60,максимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,максимум,70,максимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,максимум,50,минимум,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,максимум,60,минимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,45,максимум,16,максимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,45,максимум,18,максимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,45,максимум,12,минимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,45,максимум,14,минимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,47,максимум,16,максимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,47,максимум,18,максимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,47,максимум,12,минимум,,
http://www.wikidata.org/entity/Q38478,Норвежский бухунд,Норвегия,47,максимум,14,минимум,,
http://www.wikidata.org/entity/Q38426,Австрийский пинчер,Австрия,50,максимум,,,,
http://www.wikidata.org/entity/Q38426,Австрийский пинчер,Австрия,48,максимум,,,,
http://www.wikidata.org/entity/Q38426,Австрийский пинчер,Австрия,42,минимум,,,,
http://www.wikidata.org/entity/Q38426,Австрийский пинчер,Австрия,44,минимум,,,,
http://www.wikidata.org/entity/Q38503,Левретка,Италия,32,минимум,5,максимум,,
